key,label,start_date,end_date,trading_days,cumulative_return,annualized_return,annualized_volatility,max_drawdown,max_drawdown_start,max_drawdown_end,sharpe_ratio,calmar_ratio
top10_10y,10年榜前10,2020-11-03,2025-11-03,1256,4.066657920137661,0.38345046468632327,0.547085854134632,-0.712910390303854,2021-12-27,2022-10-14,0.7008963251167526,0.5378662871260587
top10_5y,5年榜前10,2020-11-03,2025-11-03,1256,5.226207115137734,0.44167198871334645,0.46912373872228813,-0.4529230827396884,2022-06-07,2022-09-26,0.941482922855898,0.9751589299483586
